Street,Direction,TotalVolume
FRESH KILLS BRIDGE,SB,490062.0
BELT PARKWAY,WB,431509.0
BRONX RIVER PARKWAY,NB,399959.0
PULASKI BRIDGE,NB,348704.0
SOUTH CONDUIT AVENUE,EB,306116.0
HILLSIDE AVENUE,EB,304581.0
JAMAICA AVENUE,EB,301156.0
SUNRISE HIGHWAY,WB,296112.0
DRUMGOOLE ROAD WEST,SB,287214.0
VAN WYCK EXPRESSWAY,NB,287214.0
AVENUE M,WB,287214.0
EAST FORDHAM ROAD,EB,287214.0
LONG ISLAND EXPWY ET 19 WB,WB,287214.0
GRAND CENTRAL PARKWAY,EB,287214.0
CLINTON STREET,NB,287214.0
FLATBUSH AVENUE,SB,287214.0
LIBERTY AVENUE,NB,287214.0
CROSS BRONX EXPRESSWAY,EB,287214.0
GRAND CENTRAL PARKWAY,WB,287214.0
JAMAICA AVENUE,WB,287214.0
NORTH CHANNEL BRIDGE,NB,262657.0
NORTH CHANNEL BRIDGE,SB,249828.0
BROADWAY,SB,249474.0
JERICHO TURNPIKE,EB,240784.0
VAN CORTLANDT PARK EAST,NB,240784.0
PULASKI BRIDGE,SB,240399.0
WESTCHESTER AVENUE BRIDGE,WB,240399.0
HAMILTON AVENUE BRIDGE,NB,240341.0
HAMILTON AVENUE BRIDGE,SB,240341.0
UNION TURNPIKE,EB,233567.0
UNION ST BRIDGE,EB,230780.0
EAST 174 ST BRIDGE,WB,229554.0
LINDEN BOULEVARD,WB,212395.0
9 STREET BRIDGE,EB,208865.0
JACKIE ROBINSON PARKWAY,NB,192699.0
HILLSIDE AVENUE,WB,191164.0
N/B WHITESTONE EXPWY BRIDGE,NB,187958.0
ROOSEVELT AVENUE BRIDGE,EB,184151.0
S/B HENRY HUDSON PARKWAY @ CITY LINE,SB,183164.0
SEAGIRT BOULEVARD,WB,181190.0
MANHATTAN BRIDGE,EW,175881.0
TILLARY STREET,WB,170726.0
BQE WB ENTRANCE OLD FULTON ST,WB,170726.0
GOWANUS EP WB EN HUGH CAREY TNNL,EB,170726.0
BROOKLYN QUEENS EXPRESSWAY,WB,170726.0
BROOKLYN QUEENS EXPRESSWAY,NB,170726.0
FRESH KILLS BRIDGE,NB,170201.0
BRUCKNER EXPRESSWAY,SB,170074.0
CROSS BRONX EXPRESSWAY,WB,170074.0
PARK AVENUE,SB,168911.0
BORDEN AVENUE BRIDGE,EB,166249.0
WHITE PLAINS ROAD,SB,163580.0
W/B MILL BASIN BRIDGE @ BELT PKWY,WB,155017.0
W/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,WB,154273.0
LINDEN BLVD,EB,150055.0
DEKALB AVENUE,NB,148375.0
ATLANTIC AVENUE,WB,146825.0
CENTRAL AVENUE,EB,137459.0
LINDEN BLVD,WB,130115.0
BROADWAY BRIDGE,SB,129813.0
145 STREET BRIDGE,EB,129813.0
BROADWAY BRIDGE,NB,129813.0
145 STREET BRIDGE,WB,129813.0
3 AVENUE BRIDGE,SB,129813.0
MACOMBS DAM BRIDGE,EB,129813.0
COOPER STREET,NB,129390.0
ROOSEVELT IS BRIDGE,EB,127420.0
SEAGIRT BLVD,EB,122576.0
BEACH CHANNEL DR,NB,119497.0
EAST 174 ST BRIDGE,EB,116522.0
LINDEN BOULEVARD,EB,115371.0
MERRICK BOULEVARD,EB,113417.0
COOPER AVENUE,SB,113417.0
RIKERS ISLAND BRIDGE,NB,113417.0
BROADWAY,NB,113060.0
PELHAM BRIDGE,NB,113032.0
EASTCHESTER BRIDGE,NB,113032.0
PELHAM BRIDGE,SB,113032.0
NEW ENGLAND THRUWAY,NB,113032.0
NEW ENGLAND THRUWAY,SB,112745.0
WILLIS AVENUE BRIDGE,NB,109528.0
MADISON AVENUE BRIDGE,WB,109528.0
HAMILTON AVENUE BRIDGE,EB,103413.0
BELT PARKWAY,SB,103413.0
WHITESTONE EXPWY SB EN ULMER ST,SB,103413.0
3 AVENUE,NB,103413.0
UNION TURNPIKE,WB,103413.0
BROOKLYN BRIDGE,WB,101765.0
UNIVERSITY HEIGHTS BRG,EB,98937.0
3 AV BR,SB,98937.0
FLATBUSH AVENUE,NB,95655.0
HUNTERS POINT BRIDGE,EB,95448.0
HOOK CREEK BRIDGE,SB,95448.0
QUEENS BOULEVARD,WB,94787.0
ROCKAWAY BOULEVARD,EB,93978.0
MYRTLE AVENUE,WB,93978.0
MAJOR DEEGAN EXPRESSWAY SR,NB,92180.0
MAJOR DEEGAN EXPRESSWAY,SB,92180.0
12 AVENUE,NB,86557.0
ALEXANDER HAMILTON BRIDGE,WB,86557.0
CROSS ISLAND PKWY ET 25 A SB,SB,83151.0
JACKIE ROBINSON PARKWAY,WB,75574.0
N/B CROSSBAY BLVD @ ROCKAWAY BLVD,NB,72227.0
ROCKAWAY BOULEVARD,SB,70801.0
FLUSHING BRIDGE,EB,70801.0
BORDEN AVENUE BRIDGE,WB,70801.0
UNIVERSITY HEIGHTS BRIDGE,WB,66522.0
DEEGAN EXWY SR,SB,64648.0
NEW ENGLAND THRWY,NB,64648.0
BEACH CHANNEL DR,SB,61639.0
NEPTUNE AVENUE,WB,61173.0
MADISON AV BR,WB,59902.0
EAST HOUSTON STREET,EB,59657.0
SEAGIRT BLVD,WB,57858.0
ROOSEVELT AVENUE BRIDGE,WB,56784.0
PELHAM PARKWAY SOUTH,EB,55803.0
WEST 207 STREET,WB,55803.0
PELHAM PARKWAY,WB,55803.0
10 AVENUE,SB,55803.0
NEW ENGLAND THRWY,SB,55769.0
BOSTON ROAD,WB,55025.0
BOSTON ROAD,EB,55025.0
S/B HUTCHINSON RIVER PKWY @ CITY LINE,SB,51742.0
QUEENS PLZ S,WB,50097.0
QNSBORO BR EXIT,WB,50097.0
QUEENSBORO BR,EB,50097.0
BQE WESTBOUND EXIT 32 A,WB,50097.0
HOLLAND TUNNEL,EB,49214.0
HOLLAND TUNNEL,WB,49214.0
F D R DRIVE,SB,48868.0
E/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,EB,48780.0
S/B BOSTON ROAD @ MCOWEN AVE - ROPES AVE,SB,48735.0
E/B LIE MAIN RD(2 LAN N SIDE)@CITY LINE,EB,46679.0
CROPSEY AVENUE,NB,46502.0
SEAGIRT BOULEVARD,EB,46446.0
LAFAYETTE ST,SB,46132.0
YORK AV,SB,46132.0
CANAL ST,WB,46132.0
W BROADWAY,SB,46132.0
HOOK CREEK BRIDGE,NB,44858.0
SUTTER AVENUE,WB,44858.0
N CHANNEL BR,SB,43080.0
BOSTON ROAD,NB,42960.0
BOSTON ROAD,SB,42960.0
FDR DRIVE @ EAST 63 ST ENTRANCE,SB,42361.0
GRAND STREET BRIDGE,WB,42165.0
CROPSEY AVENUE BRIDGE,SB,41667.0
MOON AVENUE,SB,41666.0
WEBSTER AVENUE,SB,41090.0
EAST TREMONT AVENUE,EB,40905.0
ATLANTIC AVENUE,EB,40737.0
EAST FORDHAM ROAD,WB,39779.0
COLUMBUS AV,SB,39539.0
AMSTERDAM AV,NB,39539.0
YORK AVENUE,SB,39098.0
NORTH CONDUIT AVENUE,WB,38985.0
BELT PARKWAY SB ENTRANCE 181 ST,SB,38985.0
BELT PARKWAY EXIT 21 WESTBOUND,NB,38985.0
AVE OF THE AMERICAS,NB,38848.0
BEP EB EXIT 25 A,NB,38787.0
BELT PARKWAY EXIT 25 A NB,SB,35343.0
N/B PELHAM BRIDGE @  BRUCKNER EXPWY,NB,35090.0
PENNSYLVANIA AVENUE,NB,34945.0
E/B S CONDUIT AVE @ BELMONT AVE,EB,34414.0
INT RMP,NB,34059.0
PARK AV,NB,33943.0
3 AV,NB,33943.0
MILL BASIN BR,WB,32434.0
94 STREET,NB,31306.0
ASTORIA BOULEVARD,EB,31306.0
VAN WYCK EXPRESSWAY EXIT 11 SB,SB,30251.0
HEMPSTEAD AVENUE,WB,28404.0
EAST 174 STREET,EB,28240.0
5 AV,SB,27462.0
S/B FRESH KILLS BRIDGE @ FOREST HILL RD-,SB,27242.0
AMSTERDAM AVENUE,NB,27169.0
PELHAM BR,SB,26074.0
EAST 174 STREET,WB,26074.0
WESTCHESTER AV BR,WB,26074.0
BROADWAY,EB,25344.0
MEEKER AVENUE,SB,24722.0
MEEKER AVENUE,NB,24722.0
Adam Clayton Powell Blvd NB,NB,24669.0
WEST END AVENUE,SB,24648.0
5 AVENUE,SB,24247.0
JEROME AVENUE,NB,23428.0
JEROME AVENUE,SB,23428.0
WEST BURNSIDE AVENUE,EB,23428.0
PARK AVENUE,NB,23428.0
EAST 175 STREET,WB,23428.0
FLATLANDS AVENUE,EB,23323.0
PENNSYLVANIA AVENUE,SB,23323.0
BEACH 20 STREET,SB,23223.0
WEST STREET,SB,22975.0
WEST STREET,NB,22975.0
BARTOW AVENUE,EB,22530.0
LEXINGTON AVENUE,SB,22529.0
MADISON AVENUE,NB,22529.0
HYLAN BOULEVARD,SB,22451.0
MANHATTAN BRIDGE,WB,22405.0
FLATLANDS AV,EB,21448.0
NORTHERN BOULEVARD,WB,21327.0
MERRICK BOULEVARD,NB,21279.0
LIBERTY AVENUE,EB,21279.0
HEMPSTEAD AV,WB,21198.0
CITY IS BRIDGE,NB,21074.0
CHRYSTIE STREET,SB,20559.0
EAST HOUSTON STREET,WB,20559.0
1 AV,NB,20452.0
CROPSEY AVENUE BRIDGE,NB,20189.0
CROSS BRONX EXPWY ET 2 A WB,SB,20116.0
CROSS BRONX EXPWY ET 2 A WB,WB,20116.0
WATER STREET,WB,20111.0
N CHANNEL BR,NB,19901.0
ROOSEVELT IS BR,EB,19901.0
WEST 42 STREET,EB,19779.0
WEST 42 STREET,WB,19779.0
WOODHAVEN BLVD,NB,19023.0
PROSPECT EXPRESSWAY,WB,18922.0
GREENPOINT AVE BET MOULTRIE & HUMBOLDT STS,EB,18833.0
MADISON AVENUE BR APPROACH,EB,18529.0
DITMARS BOULEVARD,SB,18420.0
LA GUARDIA ARPT ENTRANCE,SB,18420.0
MALCOLM X BOULEVARD,NB,18333.0
E/B E 23RD ST @ MADISON AVE,EB,17800.0
DELANCEY STREET,WB,17735.0
EASTCHESTER ROAD,NB,17665.0
EASTCHESTER ROAD,SB,17665.0
ROOSEVELT AVENUE,WB,17529.0
EAST 163 STREET,EB,17474.0
NORTHERN BOULEVARD,SB,17269.0
UTICA AVE BET CLARKSON AVE & LENOX RD,SB,16911.0
FLATBUSH AV,NB,16834.0
FLATBUSH AV,SB,16834.0
N/B UNION SQUARE EAST @ E 17 ST,NB,16791.0
WHITE PLAINS ROAD,NB,16624.0
DYCKMAN STREET,NB,16592.0
HUNTS POINT AVENUE,NB,16271.0
MACOMBS DAM BRIDGE,WB,16271.0
1 AVENUE,NB,16228.0
BARTOW AVENUE,WB,16080.0
PAERDEGAT AV N,SB,15500.0
MADISON AV,NB,15048.0
CENTRAL PARK N,WB,15048.0
MAJOR DEEGAN EXPWY ET 3 NB,NB,15044.0
MDE SB ENTRANCE GRAND CNCRSE,SB,15044.0
WILLIAM/OLD SLIP,NB,14960.0
OCEAN PARKWAY,NB,14711.0
NEPTUNE AVENUE,EB,14671.0
ROCKAWAY BLVD BET 93RD ST & 94TH ST,NB,14649.0
KINGS HIGHWAY,SB,14428.0
CROSS BRONX EXWY,EB,14364.0
ROCKAWAY AV,NB,14364.0
CROSS BRONX EXWY,WB,14364.0
HUGUENOT AV,NB,14364.0
7 AVENUE,SB,14308.0
MORNINGSIDE DRIVE,WB,14270.0
CLOVE ROAD,SB,14058.0
CLOVE ROAD,NB,14058.0
FRESH POND ROAD,SB,13957.0
111 STREET,NB,13739.0
34 AVENUE,EB,13736.0
33 STREET,NB,13736.0
CRESCENT STREET,SB,13736.0
WESTCHESTER AVENUE,WB,13499.0
WESTCHESTER AVENUE,EB,13499.0
RICHMOND ROAD,WB,13358.0
UNION AVENUE,SB,13108.0
UNION AVENUE,NB,13108.0
MEEKER AVENUE,EB,13108.0
GREENPOINT AVE BET MOULTRIE & HUMBOLDT STS,WB,12984.0
N/B CONEY ISLAND AVE(N LEG)@CORTELYOU RD,NB,12922.0
EAST 49 STREET,WB,12846.0
EAST 50 STREET,EB,12846.0
VICTORY BOULEVARD,EB,12755.0
DELAFIELD AVENUE,EB,12755.0
8 AV,NB,12586.0
CORTELYOU ROAD,EB,12498.0
ROSEDALE AVENUE,NB,12498.0
58 STREET,SB,12388.0
CONEY ISL AVE &CHURCH AVE BET TURNER PL &CHURCH AVE,NB,12154.0
FLUSHING AVENUE,EB,12146.0
